post_id	coremembers	milescovered
11206	a:22:{i:0;s:3:"725";i:1;s:2:"73";i:2;s:2:"21";i:3;s:2:"98";i:4;s:1:"9";i:5;s:3:"874";i:6;s:3:"713";i:7;s:3:"779";i:8;s:3:"914";i:9;s:3:"869";i:10;s:3:"799";i:11;s:3:"156";i:12;s:1:"5";i:13;s:2:"10";i:14;s:3:"849";i:15;s:3:"898";i:16;s:3:"796";i:17;s:3:"876";i:18;s:3:"867";i:19;s:2:"58";i:20;s:3:"826";i:21;s:3:"802";}	120
11299	a:24:{i:0;s:2:"73";i:1;s:2:"24";i:2;s:2:"44";i:3;s:2:"13";i:4;s:3:"750";i:5;s:2:"27";i:6;s:2:"33";i:7;s:3:"713";i:8;s:3:"509";i:9;s:3:"735";i:10;s:2:"28";i:11;s:3:"869";i:12;s:3:"799";i:13;s:3:"880";i:14;s:3:"156";i:15;s:1:"5";i:16;s:3:"792";i:17;s:3:"747";i:18;s:3:"146";i:19;s:2:"10";i:20;s:3:"867";i:21;s:2:"58";i:22;s:2:"34";i:23;s:2:"29";}	9
11353	a:25:{i:0;s:3:"871";i:1;s:3:"857";i:2;s:3:"882";i:3;s:1:"2";i:4;s:3:"745";i:5;s:3:"933";i:6;s:2:"30";i:7;s:2:"24";i:8;s:2:"37";i:9;s:2:"13";i:10;s:2:"27";i:11;s:3:"793";i:12;s:2:"33";i:13;s:2:"35";i:14;s:3:"899";i:15;s:3:"741";i:16;s:3:"749";i:17;s:3:"869";i:18;s:2:"26";i:19;s:3:"156";i:20;s:1:"5";i:21;s:3:"932";i:22;s:3:"867";i:23;s:2:"34";i:24;s:2:"29";}	186
11580	a:11:{i:0;s:3:"882";i:1;s:1:"2";i:2;s:3:"745";i:3;s:3:"933";i:4;s:2:"24";i:5;s:3:"793";i:6;s:3:"741";i:7;s:3:"934";i:8;s:3:"782";i:9;s:1:"6";i:10;s:2:"68";}	422
11641	a:8:{i:0;s:1:"2";i:1;s:3:"745";i:2;s:2:"23";i:3;s:2:"55";i:4;s:2:"24";i:5;s:1:"8";i:6;s:3:"741";i:7;s:3:"799";}	1650
11817	a:13:{i:0;s:3:"863";i:1;s:3:"958";i:2;s:3:"783";i:3;s:2:"27";i:4;s:3:"870";i:5;s:1:"8";i:6;s:2:"33";i:7;s:2:"35";i:8;s:3:"719";i:9;s:2:"28";i:10;s:3:"961";i:11;s:2:"34";i:12;s:2:"29";}	170
11849	a:10:{i:0;s:2:"23";i:1;s:1:"8";i:2;s:3:"741";i:3;s:3:"799";i:4;s:1:"5";i:5;s:3:"782";i:6;s:3:"826";i:7;s:1:"6";i:8;s:2:"29";i:9;s:2:"68";}	1328
11883	a:12:{i:0;s:3:"854";i:1;s:3:"754";i:2;s:2:"24";i:3;s:2:"27";i:4;s:2:"35";i:5;s:3:"741";i:6;s:3:"799";i:7;s:1:"5";i:8;s:3:"932";i:9;s:3:"849";i:10;s:3:"934";i:11;s:2:"29";}	180
11936	a:8:{i:0;s:1:"2";i:1;s:2:"24";i:2;s:2:"27";i:3;s:1:"8";i:4;s:3:"741";i:5;s:3:"799";i:6;s:1:"5";i:7;s:2:"29";}	320
12001	a:10:{i:0;s:3:"863";i:1;s:1:"8";i:2;s:2:"33";i:3;s:3:"719";i:4;s:3:"152";i:5;s:1:"5";i:6;s:3:"932";i:7;s:3:"849";i:8;s:3:"782";i:9;s:2:"34";}	1200
12128	a:14:{i:0;s:3:"998";i:1;s:2:"55";i:2;s:2:"24";i:3;s:3:"945";i:4;s:1:"8";i:5;s:2:"35";i:6;s:3:"719";i:7;s:3:"741";i:8;s:3:"799";i:9;s:3:"146";i:10;s:3:"932";i:11;s:3:"826";i:12;s:1:"6";i:13;s:2:"29";}	195
12147	a:24:{i:0;s:3:"854";i:1;s:3:"999";i:2;s:1:"2";i:3;s:3:"998";i:4;s:3:"743";i:5;s:2:"30";i:6;s:4:"1000";i:7;s:2:"24";i:8;s:2:"27";i:9;s:1:"8";i:10;s:3:"793";i:11;s:2:"33";i:12;s:3:"752";i:13;s:3:"719";i:14;s:3:"741";i:15;s:2:"64";i:16;s:1:"5";i:17;s:3:"146";i:18;s:3:"977";i:19;s:3:"932";i:20;s:3:"961";i:21;s:3:"782";i:22;s:2:"29";i:23;s:2:"68";}	136
12208	a:9:{i:0;s:1:"2";i:1;s:2:"24";i:2;s:3:"719";i:3;s:3:"741";i:4;s:3:"799";i:5;s:2:"64";i:6;s:3:"932";i:7;s:3:"782";i:8;s:2:"29";}	1991
12247	a:7:{i:0;s:1:"2";i:1;s:4:"1000";i:2;s:2:"27";i:3;s:2:"35";i:4;s:3:"719";i:5;s:1:"5";i:6;s:2:"59";}	254
12281	a:18:{i:0;s:1:"2";i:1;s:2:"30";i:2;s:2:"23";i:3;s:2:"13";i:4;s:2:"27";i:5;s:2:"35";i:6;s:3:"719";i:7;s:3:"741";i:8;s:3:"799";i:9;s:2:"64";i:10;s:1:"5";i:11;s:3:"932";i:12;s:3:"782";i:13;s:2:"34";i:14;s:3:"826";i:15;s:1:"6";i:16;s:2:"29";i:17;s:2:"68";}	690
12333	a:20:{i:0;s:1:"2";i:1;s:4:"1000";i:2;s:2:"23";i:3;s:2:"55";i:4;s:2:"13";i:5;s:3:"906";i:6;s:3:"945";i:7;s:1:"8";i:8;s:2:"35";i:9;s:3:"719";i:10;s:3:"741";i:11;s:3:"799";i:12;s:3:"880";i:13;s:1:"5";i:14;s:3:"146";i:15;s:3:"961";i:16;s:3:"782";i:17;s:3:"978";i:18;s:1:"6";i:19;s:2:"29";}	700
12362	a:8:{i:0;s:1:"2";i:1;s:2:"13";i:2;s:2:"27";i:3;s:1:"8";i:4;s:2:"35";i:5;s:3:"719";i:6;s:2:"64";i:7;s:1:"5";}	1200
12417	a:7:{i:0;s:2:"23";i:1;s:2:"24";i:2;s:3:"719";i:3;s:3:"741";i:4;s:3:"799";i:5;s:3:"782";i:6;s:2:"29";}	1317
12476	a:14:{i:0;s:1:"2";i:1;s:2:"23";i:2;s:2:"24";i:3;s:2:"13";i:4;s:1:"8";i:5;s:2:"35";i:6;s:3:"719";i:7;s:3:"741";i:8;s:3:"799";i:9;s:1:"5";i:10;s:3:"782";i:11;s:2:"34";i:12;s:1:"6";i:13;s:2:"29";}	1200
12526	a:6:{i:0;s:2:"23";i:1;s:2:"24";i:2;s:2:"13";i:3;s:3:"741";i:4;s:3:"799";i:5;s:1:"6";}	1150
12586	a:5:{i:0;s:1:"8";i:1;s:3:"719";i:2;s:3:"741";i:3;s:3:"799";i:4;s:3:"782";}	1550
12769	a:8:{i:0;s:2:"23";i:1;s:2:"55";i:2;s:3:"719";i:3;s:1:"5";i:4;s:3:"932";i:5;s:3:"135";i:6;s:3:"782";i:7;s:2:"34";}	1200
