post_id	coremembers	milescovered
5159	a:24:{i:0;s:1:"7";i:1;s:1:"2";i:2;s:2:"21";i:3;s:3:"161";i:4;s:2:"30";i:5;s:2:"23";i:6;s:2:"24";i:7;s:2:"13";i:8;s:1:"9";i:9;s:2:"27";i:10;s:1:"8";i:11;s:2:"33";i:12;s:2:"35";i:13;s:2:"70";i:14;s:2:"64";i:15;s:1:"5";i:16;s:2:"10";i:17;s:2:"16";i:18;s:2:"58";i:19;s:2:"34";i:20;s:1:"4";i:21;s:2:"46";i:22;s:1:"6";i:23;s:2:"68";}	1250
5213	a:19:{i:0;s:1:"7";i:1;s:2:"73";i:2;s:1:"2";i:3;s:2:"21";i:4;s:2:"30";i:5;s:2:"24";i:6;s:2:"13";i:7;s:2:"27";i:8;s:2:"33";i:9;s:2:"36";i:10;s:2:"28";i:11;s:2:"26";i:12;s:2:"77";i:13;s:2:"10";i:14;s:2:"40";i:15;s:2:"58";i:16;s:2:"34";i:17;s:2:"46";i:18;s:1:"6";}	98
5436	a:21:{i:0;s:2:"73";i:1;s:1:"2";i:2;s:2:"32";i:3;s:2:"98";i:4;s:2:"24";i:5;s:2:"37";i:6;s:2:"13";i:7;s:1:"9";i:8;s:2:"27";i:9;s:3:"170";i:10;s:3:"168";i:11;s:2:"77";i:12;s:2:"53";i:13;s:1:"5";i:14;s:3:"146";i:15;s:2:"10";i:16;s:2:"16";i:17;s:2:"40";i:18;s:3:"169";i:19;s:1:"6";i:20;s:2:"29";}	460
5673	a:17:{i:0;s:1:"7";i:1;s:2:"21";i:2;s:3:"161";i:3;s:2:"32";i:4;s:2:"24";i:5;s:2:"13";i:6;s:1:"9";i:7;s:2:"27";i:8;s:1:"8";i:9;s:2:"33";i:10;s:2:"26";i:11;s:2:"64";i:12;s:1:"5";i:13;s:2:"58";i:14;s:2:"34";i:15;s:1:"4";i:16;s:2:"46";}	31
5696	a:31:{i:0;s:1:"7";i:1;s:2:"73";i:2;s:2:"25";i:3;s:1:"2";i:4;s:2:"21";i:5;s:3:"145";i:6;s:3:"161";i:7;s:2:"30";i:8;s:2:"23";i:9;s:2:"32";i:10;s:2:"24";i:11;s:2:"37";i:12;s:2:"13";i:13;s:1:"9";i:14;s:2:"27";i:15;s:3:"170";i:16;s:1:"8";i:17;s:2:"70";i:18;s:2:"26";i:19;s:2:"77";i:20;s:2:"64";i:21;s:1:"5";i:22;s:2:"10";i:23;s:2:"59";i:24;s:2:"16";i:25;s:2:"40";i:26;s:2:"34";i:27;s:1:"4";i:28;s:2:"46";i:29;s:2:"29";i:30;s:2:"68";}	840
5892	a:17:{i:0;s:2:"73";i:1;s:2:"66";i:2;s:1:"2";i:3;s:2:"21";i:4;s:3:"121";i:5;s:2:"30";i:6;s:2:"24";i:7;s:2:"13";i:8;s:1:"9";i:9;s:3:"171";i:10;s:3:"781";i:11;s:2:"26";i:12;s:2:"77";i:13;s:2:"64";i:14;s:2:"41";i:15;s:2:"34";i:16;s:1:"6";}	98
6057	a:14:{i:0;s:2:"25";i:1;s:2:"21";i:2;s:2:"30";i:3;s:2:"24";i:4;s:1:"9";i:5;s:2:"27";i:6;s:1:"8";i:7;s:2:"33";i:8;s:2:"26";i:9;s:1:"5";i:10;s:2:"10";i:11;s:2:"58";i:12;s:2:"34";i:13;s:2:"46";}	300
6219	a:61:{i:0;s:1:"7";i:1;s:3:"725";i:2;s:2:"73";i:3;s:3:"136";i:4;s:2:"25";i:5;s:1:"2";i:6;s:2:"21";i:7;s:3:"121";i:8;s:3:"145";i:9;s:3:"161";i:10;s:3:"743";i:11;s:3:"765";i:12;s:3:"714";i:13;s:2:"92";i:14;s:2:"30";i:15;s:2:"23";i:16;s:3:"165";i:17;s:2:"32";i:18;s:2:"55";i:19;s:2:"24";i:20;s:2:"37";i:21;s:2:"13";i:22;s:1:"9";i:23;s:2:"27";i:24;s:3:"870";i:25;s:2:"56";i:26;s:3:"170";i:27;s:2:"60";i:28;s:1:"8";i:29;s:2:"33";i:30;s:2:"35";i:31;s:2:"36";i:32;s:2:"99";i:33;s:2:"69";i:34;s:3:"741";i:35;s:3:"781";i:36;s:3:"749";i:37;s:2:"28";i:38;s:3:"164";i:39;s:2:"70";i:40;s:2:"26";i:41;s:2:"77";i:42;s:2:"53";i:43;s:3:"152";i:44;s:2:"64";i:45;s:1:"5";i:46;s:3:"146";i:47;s:3:"135";i:48;s:2:"59";i:49;s:2:"16";i:50;s:2:"40";i:51;s:2:"58";i:52;s:2:"34";i:53;s:1:"4";i:54;s:2:"46";i:55;s:2:"31";i:56;s:1:"6";i:57;s:3:"174";i:58;s:2:"29";i:59;s:2:"50";i:60;s:2:"68";}	25
6345	a:25:{i:0;s:2:"73";i:1;s:1:"2";i:2;s:2:"21";i:3;s:3:"145";i:4;s:3:"161";i:5;s:2:"30";i:6;s:2:"23";i:7;s:2:"32";i:8;s:2:"24";i:9;s:2:"13";i:10;s:1:"9";i:11;s:2:"27";i:12;s:3:"170";i:13;s:1:"8";i:14;s:2:"33";i:15;s:2:"26";i:16;s:2:"64";i:17;s:1:"5";i:18;s:2:"10";i:19;s:2:"16";i:20;s:2:"58";i:21;s:2:"34";i:22;s:1:"4";i:23;s:1:"6";i:24;s:2:"68";}	1600
6618	a:28:{i:0;s:3:"725";i:1;s:3:"136";i:2;s:1:"2";i:3;s:3:"165";i:4;s:2:"32";i:5;s:2:"24";i:6;s:1:"9";i:7;s:3:"170";i:8;s:1:"8";i:9;s:3:"752";i:10;s:3:"173";i:11;s:2:"36";i:12;s:3:"737";i:13;s:3:"168";i:14;s:3:"749";i:15;s:2:"26";i:16;s:3:"751";i:17;s:3:"152";i:18;s:3:"146";i:19;s:3:"728";i:20;s:2:"58";i:21;s:3:"757";i:22;s:3:"169";i:23;s:2:"46";i:24;s:2:"31";i:25;s:1:"6";i:26;s:2:"29";i:27;s:2:"68";}	80
